"IP","Hostname","MAC","Vendor","Status","OS","OpenPorts","Banners"
"192.168.0.1","IPTIME","58-86-94-29-EB-8B","EFM Networks","Online","Linux/Unix/Mac","80, 139, 445","80:Httpd/1.0"
"192.168.0.5","24NB0897.local","8C-B0-E9-E7-B3-A0","Samsung Electronics.,LTD","Online","Windows","135, 139, 445, 3389",""
"192.168.0.7","ds3615xs_62.local","00-11-32-23-D6-54","Synology Incorporated","Online","Linux/Unix/Mac","22, 80, 139, 443, 445","80:nginx"
"192.168.0.23","dlink-8B390C.local","1C-BD-B9-8B-39-0C","D-Link International","Online","Linux/Unix/Mac","80, 139, 443, 445","80:GoAhead-Webs"
"192.168.0.40","","7C-49-EB-B5-80-08","XIAOMI Electronics,CO.,LTD","Online","Network Device","",""
"192.168.0.41","","CC-4B-73-66-EB-34","AMPAK Technology, Inc.","Online","Linux/Unix/Mac","",""
"192.168.0.42","SKSQQ00873PN01.SKSQ.AD","C4:BD:E5:12:97:F6","Intel Corporate","Online","Windows","135, 139, 445",""
"192.168.0.43","","C8-DD-6A-29-3C-33","OHSUNG","Online","Network Device","",""
"192.168.0.47","","E0-85-4D-DD-39-F2","LG Innotek","Online","Network Device","",""
"192.168.0.48","","7C-C2-94-AB-82-F6","Beijing Xiaomi Mobile Software Co., Ltd","Online","Network Device","",""
"192.168.0.50","","78-11-DC-82-FE-94","XIAOMI Electronics,CO.,LTD","Online","Linux/Unix/Mac","",""
"192.168.0.52","","44-D5-CC-AD-CF-98","Amazon Technologies Inc.","Online","Linux/Unix/Mac","",""
"192.168.0.55","","66-2F-F1-03-22-15","Randomized (Privacy)","Online","Linux/Unix/Mac","",""
"192.168.0.58","","B0-F8-93-90-D1-61","Shanghai MXCHIP Information Technology Co., Ltd.","Online","Network Device","",""
"192.168.0.60","","04-B9-E3-4B-DA-02","Samsung Electronics Co.,Ltd","Online","Linux/Unix/Mac","8080","8080:WebServer"
"192.168.0.62","","78-11-DC-52-F5-63","XIAOMI Electronics,CO.,LTD","Online","Network Device","",""
"192.168.0.72","","2C-98-11-AE-84-BD","CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.","Online","Linux/Unix/Mac","8443",""
"192.168.0.73","","44-23-7C-A2-4A-7B","Beijing Xiaomi Mobile Software Co., Ltd","Online","Network Device","",""
"192.168.0.76","","08-84-9D-FE-92-87","Amazon Technologies Inc.","Online","Linux/Unix/Mac","",""
"192.168.0.77","","88-40-67-04-BD-6A","infomark","Online","Linux/Unix/Mac","",""
"192.168.0.81","","1C-F2-9A-1D-0B-67","Google, Inc.","Online","Linux/Unix/Mac","8443",""
"192.168.0.129","10G","70-5D-CC-D4-6E-D3","EFM Networks","Online","Linux/Unix/Mac","80, 139, 445","80:Httpd/1.0"
"192.168.0.150","24NB0897.local","00-E0-4B-68-BB-4B","JUMP INDUSTRIELLE COMPUTERTECHNIK GmbH","Online","Windows","135, 139, 445, 3389",""
"192.168.0.170","ds3615xs_62.local","00-0C-29-B8-F5-4E","VMware, Inc.","Online","Linux/Unix/Mac","22, 80, 139, 443, 445","22:SSH-2.0-OpenSSH_7.4 Protocol mismatch. | 80:nginx"
"192.168.0.254","","76-4D-CC-74-DC-8E","Randomized (Privacy)","Online","Linux/Unix/Mac","80","80:Httpd/1.0"
