"IP","Hostname","MAC","Vendor","Status","OS","OpenPorts","Banners"
"192.168.0.1","IPTIME","58-86-94-29-EB-8B","",,"Linux/Unix/Mac","System.Object[]","System.Object[]"
"192.168.0.5","24NB0897.local","8C-B0-E9-E7-B3-A0","",,"Windows","System.Object[]","System.Object[]"
"192.168.0.7","ds3615xs_62.local","00-11-32-23-D6-54","Synology",,"Linux/Unix/Mac","System.Object[]","System.Object[]"
"192.168.0.23","dlink-8B390C.local","1C-BD-B9-8B-39-0C","",,"Linux/Unix/Mac","System.Object[]","System.Object[]"
"192.168.0.40","","7C-49-EB-B5-80-08","",,"Network Device","System.Object[]","System.Object[]"
"192.168.0.41","","CC-4B-73-66-EB-34","",,"Linux/Unix/Mac","System.Object[]","System.Object[]"
"192.168.0.42","SKSQQ00873PN01.SKSQ.AD",,"",,"Windows","System.Object[]","System.Object[]"
"192.168.0.43","","C8-DD-6A-29-3C-33","",,"Network Device","System.Object[]","System.Object[]"
"192.168.0.47","","E0-85-4D-DD-39-F2","",,"Network Device","System.Object[]","System.Object[]"
"192.168.0.48","","7C-C2-94-AB-82-F6","",,"Network Device","System.Object[]","System.Object[]"
"192.168.0.50","","78-11-DC-82-FE-94","",,"Linux/Unix/Mac","System.Object[]","System.Object[]"
"192.168.0.52","","44-D5-CC-AD-CF-98","",,"Linux/Unix/Mac","System.Object[]","System.Object[]"
"192.168.0.55","","66-2F-F1-03-22-15","",,"Linux/Unix/Mac","System.Object[]","System.Object[]"
"192.168.0.56","","04-CF-8C-19-10-5A","",,"Network Device","System.Object[]","System.Object[]"
"192.168.0.60","","04-B9-E3-4B-DA-02","",,"Linux/Unix/Mac","System.Object[]","System.Object[]"
"192.168.0.61","","04-CF-8C-9F-6B-5C","",,"Network Device","System.Object[]","System.Object[]"
"192.168.0.62","","78-11-DC-52-F5-63","",,"Network Device","System.Object[]","System.Object[]"
"192.168.0.63","","34-CE-00-FE-8C-27","",,"Network Device","System.Object[]","System.Object[]"
"192.168.0.66","","78-11-DC-B1-A0-29","",,"Network Device","System.Object[]","System.Object[]"
"192.168.0.68","","34-CE-00-FE-75-F3","",,"Network Device","System.Object[]","System.Object[]"
"192.168.0.69","","34-CE-00-FF-4D-03","",,"Network Device","System.Object[]","System.Object[]"
"192.168.0.71","","34-CE-00-FE-14-21","",,"Network Device","System.Object[]","System.Object[]"
"192.168.0.72","","2C-98-11-AE-84-BD","",,"Linux/Unix/Mac","System.Object[]","System.Object[]"
"192.168.0.73","","44-23-7C-A2-4A-7B","",,"Network Device","System.Object[]","System.Object[]"
"192.168.0.76","","08-84-9D-FE-92-87","",,"Linux/Unix/Mac","System.Object[]","System.Object[]"
"192.168.0.77","","88-40-67-04-BD-6A","EFM Networks (ipTime)",,"Linux/Unix/Mac","System.Object[]","System.Object[]"
"192.168.0.81","","1C-F2-9A-1D-0B-67","EFM Networks (ipTime)",,"Linux/Unix/Mac","System.Object[]","System.Object[]"
"192.168.0.127","","04-CF-8C-34-AE-CF","",,"Network Device","System.Object[]","System.Object[]"
"192.168.0.129","10G","70-5D-CC-D4-6E-D3","",,"Linux/Unix/Mac","System.Object[]","System.Object[]"
"192.168.0.150","24NB0897.local","00-E0-4B-68-BB-4B","",,"Windows","System.Object[]","System.Object[]"
"192.168.0.170","ds3615xs_62.local","00-0C-29-B8-F5-4E","VMware",,"Linux/Unix/Mac","System.Object[]","System.Object[]"
"192.168.0.254","","76-4D-CC-74-DC-8E","",,"Linux/Unix/Mac","System.Object[]","System.Object[]"
